id,title,author,genre,description,rating,features
1081,Virtual light,William Gibson,science_fiction,Description not available.,0.0,Virtual light William Gibson science_fiction Description not available.
1082,Dawn,Octavia E. Butler,science_fiction,Description not available.,0.0,Dawn Octavia E. Butler science_fiction Description not available.
1083,"Works (Hitch Hiker's Guide to the Galaxy / Restaurant at the End of the Universe / Life, the Universe and Everything / So Long, and Thanks for All the Fish / Mostly Harmless / Young Zaphod Plays it Safe)",Douglas Adams,science_fiction,Description not available.,0.0,"Works (Hitch Hiker's Guide to the Galaxy / Restaurant at the End of the Universe / Life, the Universe and Everything / So Long, and Thanks for All the Fish / Mostly Harmless / Young Zaphod Plays it Safe) Douglas Adams science_fiction Description not available."
1084,Pebble in the Sky,Isaac Asimov,science_fiction,Description not available.,0.0,Pebble in the Sky Isaac Asimov science_fiction Description not available.
1085,The Stars My Destination,Alfred Bester,science_fiction,Description not available.,0.0,The Stars My Destination Alfred Bester science_fiction Description not available.
1086,Dandelion Wine,Ray Bradbury,science_fiction,Description not available.,0.0,Dandelion Wine Ray Bradbury science_fiction Description not available.
1087,The Dispossessed,Ursula K. Le Guin,science_fiction,Description not available.,0.0,The Dispossessed Ursula K. Le Guin science_fiction Description not available.
1088,The War of the Worlds,H. G. Wells,science_fiction,Description not available.,0.0,The War of the Worlds H. G. Wells science_fiction Description not available.
1089,Kindred,Octavia E. Butler,science_fiction,Description not available.,0.0,Kindred Octavia E. Butler science_fiction Description not available.
1090,A Deepness in the Sky (Zones of Thought),Vernor Vinge,science_fiction,Description not available.,0.0,A Deepness in the Sky (Zones of Thought) Vernor Vinge science_fiction Description not available.
1091,The Lathe of Heaven,Ursula K. Le Guin,science_fiction,Description not available.,0.0,The Lathe of Heaven Ursula K. Le Guin science_fiction Description not available.
1092,The Forever War,Joe Haldeman,science_fiction,Description not available.,0.0,The Forever War Joe Haldeman science_fiction Description not available.
1093,Have Spacesuit--Will Travel,Robert A. Heinlein,science_fiction,Description not available.,0.0,Have Spacesuit--Will Travel Robert A. Heinlein science_fiction Description not available.
1094,The Gods of Mars,Edgar Rice Burroughs,science_fiction,Description not available.,0.0,The Gods of Mars Edgar Rice Burroughs science_fiction Description not available.
1095,Player Piano,Kurt Vonnegut,science_fiction,Description not available.,0.0,Player Piano Kurt Vonnegut science_fiction Description not available.
1096,"2010, odyssey two",Arthur C. Clarke,science_fiction,Description not available.,0.0,"2010, odyssey two Arthur C. Clarke science_fiction Description not available."
1097,The Restaurant at the End of the Universe,Douglas Adams,science_fiction,Description not available.,0.0,The Restaurant at the End of the Universe Douglas Adams science_fiction Description not available.
1098,The Rise of Endymion,Dan Simmons,science_fiction,Description not available.,0.0,The Rise of Endymion Dan Simmons science_fiction Description not available.
1099,The Man in the High Castle,Philip K. Dick,science_fiction,Description not available.,0.0,The Man in the High Castle Philip K. Dick science_fiction Description not available.
1100,The Illustrated Man,Ray Bradbury,science_fiction,Description not available.,0.0,The Illustrated Man Ray Bradbury science_fiction Description not available.
1101,Fahrenheit 451,Ray Bradbury,science_fiction,Description not available.,0.0,Fahrenheit 451 Ray Bradbury science_fiction Description not available.
1102,Children of Dune,Frank Herbert,science_fiction,Description not available.,0.0,Children of Dune Frank Herbert science_fiction Description not available.
1103,The Salmon of Doubt,Douglas Adams,science_fiction,Description not available.,0.0,The Salmon of Doubt Douglas Adams science_fiction Description not available.
1104,A Scanner Darkly,Philip K. Dick,science_fiction,Description not available.,0.0,A Scanner Darkly Philip K. Dick science_fiction Description not available.
1105,This is How You Lose the Time War,Amal El-Mohtar,science_fiction,Description not available.,0.0,This is How You Lose the Time War Amal El-Mohtar science_fiction Description not available.
1106,Use of Weapons,Iain Banks,science_fiction,Description not available.,0.0,Use of Weapons Iain Banks science_fiction Description not available.
1107,Restore me,Tahereh Mafi,science_fiction,Description not available.,0.0,Restore me Tahereh Mafi science_fiction Description not available.
1108,Anathem,Neal Stephenson,science_fiction,Description not available.,0.0,Anathem Neal Stephenson science_fiction Description not available.
1109,The Gods Themselves,Isaac Asimov,science_fiction,Description not available.,0.0,The Gods Themselves Isaac Asimov science_fiction Description not available.
1110,The White Dragon,Anne McCaffrey,science_fiction,Description not available.,0.0,The White Dragon Anne McCaffrey science_fiction Description not available.
1111,Rocannon's World,Ursula K. Le Guin,science_fiction,Description not available.,0.0,Rocannon's World Ursula K. Le Guin science_fiction Description not available.
1112,Animal Farm,George Orwell,science_fiction,Description not available.,0.0,Animal Farm George Orwell science_fiction Description not available.
1113,The Number of the Beast,Robert A. Heinlein,science_fiction,Description not available.,0.0,The Number of the Beast Robert A. Heinlein science_fiction Description not available.
1114,The Chrysalids,John Wyndham,science_fiction,Description not available.,0.0,The Chrysalids John Wyndham science_fiction Description not available.
1115,The Ringworld throne,Larry Niven,science_fiction,Description not available.,0.0,The Ringworld throne Larry Niven science_fiction Description not available.
1116,Tiamat's Wrath,James S. A. Corey,science_fiction,Description not available.,0.0,Tiamat's Wrath James S. A. Corey science_fiction Description not available.
1117,Voyage au Centre de la Terre,Jules Verne,science_fiction,Description not available.,0.0,Voyage au Centre de la Terre Jules Verne science_fiction Description not available.
1118,The Sirens of Titan,Kurt Vonnegut,science_fiction,Description not available.,0.0,The Sirens of Titan Kurt Vonnegut science_fiction Description not available.
1119,"Flow my tears, the policeman said",Philip K. Dick,science_fiction,Description not available.,0.0,"Flow my tears, the policeman said Philip K. Dick science_fiction Description not available."
1120,Shards of Honor,Lois McMaster Bujold,science_fiction,Description not available.,0.0,Shards of Honor Lois McMaster Bujold science_fiction Description not available.
1121,Kongres futurologiczny,Stanisław Lem,science_fiction,Description not available.,0.0,Kongres futurologiczny Stanisław Lem science_fiction Description not available.
1122,Minority Report,Philip K. Dick,science_fiction,Description not available.,0.0,Minority Report Philip K. Dick science_fiction Description not available.
1123,Flatland,Edwin Abbott Abbott,science_fiction,Description not available.,0.0,Flatland Edwin Abbott Abbott science_fiction Description not available.
1124,Excession,Iain Banks,science_fiction,Description not available.,0.0,Excession Iain Banks science_fiction Description not available.
1125,The player of games,Iain Banks,science_fiction,Description not available.,0.0,The player of games Iain Banks science_fiction Description not available.
1126,The food of the gods and how it came to earth,H. G. Wells,science_fiction,Description not available.,0.0,The food of the gods and how it came to earth H. G. Wells science_fiction Description not available.
1127,Green Mars,Kim Stanley Robinson,science_fiction,Description not available.,0.0,Green Mars Kim Stanley Robinson science_fiction Description not available.
1128,On Basilisk Station,David Weber,science_fiction,Description not available.,0.0,On Basilisk Station David Weber science_fiction Description not available.
1129,Broken Angels,Richard K. Morgan,science_fiction,Description not available.,0.0,Broken Angels Richard K. Morgan science_fiction Description not available.
1130,Tunnel in the sky,Robert A. Heinlein,science_fiction,Description not available.,0.0,Tunnel in the sky Robert A. Heinlein science_fiction Description not available.
1131,Leviathan Wakes,James S. A. Corey,science_fiction,Description not available.,0.0,Leviathan Wakes James S. A. Corey science_fiction Description not available.
1132,Hyperion,Dan Simmons,science_fiction,Description not available.,0.0,Hyperion Dan Simmons science_fiction Description not available.
1133,La planète des singes,Pierre Boulle,science_fiction,Description not available.,0.0,La planète des singes Pierre Boulle science_fiction Description not available.
1134,A Modern Utopia,H. G. Wells,science_fiction,Description not available.,0.0,A Modern Utopia H. G. Wells science_fiction Description not available.
1135,Children of Time,Adrian Tchaikovsky,science_fiction,Description not available.,0.0,Children of Time Adrian Tchaikovsky science_fiction Description not available.
1136,De la terre à la lune,Jules Verne,science_fiction,Description not available.,0.0,De la terre à la lune Jules Verne science_fiction Description not available.
1137,Armada,Ernest Cline,science_fiction,Description not available.,0.0,Armada Ernest Cline science_fiction Description not available.
1138,Ready Player One,Ernest Cline,science_fiction,Description not available.,0.0,Ready Player One Ernest Cline science_fiction Description not available.
1139,Revelation Space,Alastair Reynolds,science_fiction,Description not available.,0.0,Revelation Space Alastair Reynolds science_fiction Description not available.
1140,Stories of Your Life and Others,Ted Chiang,science_fiction,Description not available.,0.0,Stories of Your Life and Others Ted Chiang science_fiction Description not available.
1141,Abaddon’s Gate,James S. A. Corey,science_fiction,Description not available.,0.0,Abaddon’s Gate James S. A. Corey science_fiction Description not available.
1142,Blood Music,Greg Bear,science_fiction,Description not available.,0.0,Blood Music Greg Bear science_fiction Description not available.
1143,On the Beach,Nevil Shute,science_fiction,Description not available.,0.0,On the Beach Nevil Shute science_fiction Description not available.
1144,Diaspora,Greg Egan,science_fiction,Description not available.,0.0,Diaspora Greg Egan science_fiction Description not available.
1145,The Ringworld Engineers (Ringworld),Larry Niven,science_fiction,Description not available.,0.0,The Ringworld Engineers (Ringworld) Larry Niven science_fiction Description not available.
1146,Red Mars,Kim Stanley Robinson,science_fiction,Description not available.,0.0,Red Mars Kim Stanley Robinson science_fiction Description not available.
1147,2061,Arthur C. Clarke,science_fiction,Description not available.,0.0,2061 Arthur C. Clarke science_fiction Description not available.
1148,Protector,Larry Niven,science_fiction,Description not available.,0.0,Protector Larry Niven science_fiction Description not available.
1149,The cat who walks through walls,Robert A. Heinlein,science_fiction,Description not available.,0.0,The cat who walks through walls Robert A. Heinlein science_fiction Description not available.
1150,Redshirts,John Scalzi,science_fiction,Description not available.,0.0,Redshirts John Scalzi science_fiction Description not available.
1151,Neuromancer,William Gibson,science_fiction,Description not available.,0.0,Neuromancer William Gibson science_fiction Description not available.
1152,Binti,Nnedi Okorafor,science_fiction,Description not available.,0.0,Binti Nnedi Okorafor science_fiction Description not available.
1153,Мы,Евгений Иванович Замятин,science_fiction,Description not available.,0.0,Мы Евгений Иванович Замятин science_fiction Description not available.
1154,The Space Merchants,Frederik Pohl,science_fiction,Description not available.,0.0,The Space Merchants Frederik Pohl science_fiction Description not available.
1155,The Windup Girl,Paolo Bacigalupi,science_fiction,Description not available.,0.0,The Windup Girl Paolo Bacigalupi science_fiction Description not available.
1156,The three stigmata of Palmer Eldritch,Philip K. Dick,science_fiction,Description not available.,0.0,The three stigmata of Palmer Eldritch Philip K. Dick science_fiction Description not available.
1157,The Midnight Library,Matt Haig,science_fiction,Description not available.,0.0,The Midnight Library Matt Haig science_fiction Description not available.
1158,Galápagos,Kurt Vonnegut,science_fiction,Description not available.,0.0,Galápagos Kurt Vonnegut science_fiction Description not available.
1159,Permutation City,Greg Egan,science_fiction,Description not available.,0.0,Permutation City Greg Egan science_fiction Description not available.
1160,Citizen of the Galaxy,Robert A. Heinlein,science_fiction,Description not available.,0.0,Citizen of the Galaxy Robert A. Heinlein science_fiction Description not available.
1161,Forward the Foundation,Isaac Asimov,science_fiction,Description not available.,0.0,Forward the Foundation Isaac Asimov science_fiction Description not available.
1162,Biology,Neil Alexander Campbell,science_fiction,Description not available.,0.0,Biology Neil Alexander Campbell science_fiction Description not available.
1163,Cat's Cradle,Kurt Vonnegut,science_fiction,Description not available.,0.0,Cat's Cradle Kurt Vonnegut science_fiction Description not available.
1164,Valis,Philip K. Dick,science_fiction,Description not available.,0.0,Valis Philip K. Dick science_fiction Description not available.
1165,The Science Fiction Hall of Fame -- Volume One,Robert Silverberg,science_fiction,Description not available.,0.0,The Science Fiction Hall of Fame -- Volume One Robert Silverberg science_fiction Description not available.
1166,The Demolished Man,Alfred Bester,science_fiction,Description not available.,0.0,The Demolished Man Alfred Bester science_fiction Description not available.
1167,The long earth,Terry Pratchett,science_fiction,Description not available.,0.0,The long earth Terry Pratchett science_fiction Description not available.
1168,Children of the Mind,Orson Scott Card,science_fiction,Description not available.,0.0,Children of the Mind Orson Scott Card science_fiction Description not available.
1169,The Hydrogen Sonata,Iain Banks,science_fiction,Description not available.,0.0,The Hydrogen Sonata Iain Banks science_fiction Description not available.
1170,Eon,Greg Bear,science_fiction,Description not available.,0.0,Eon Greg Bear science_fiction Description not available.
1171,Fight Club,Chuck Palahniuk,science_fiction,Description not available.,0.0,Fight Club Chuck Palahniuk science_fiction Description not available.
1172,Firestarter,Stephen King,science_fiction,Description not available.,0.0,Firestarter Stephen King science_fiction Description not available.
1173,The Long Dark Tea-Time of the Soul,Douglas Adams,science_fiction,Description not available.,0.0,The Long Dark Tea-Time of the Soul Douglas Adams science_fiction Description not available.
1174,Caliban's war,James S. A. Corey,science_fiction,Description not available.,0.0,Caliban's war James S. A. Corey science_fiction Description not available.
1175,"So long, and thanks for all the fish",Douglas Adams,science_fiction,Description not available.,0.0,"So long, and thanks for all the fish Douglas Adams science_fiction Description not available."
1176,Stranger in a Strange Land,Robert A. Heinlein,science_fiction,Description not available.,0.0,Stranger in a Strange Land Robert A. Heinlein science_fiction Description not available.
1177,Chasm City,Alastair Reynolds,science_fiction,Description not available.,0.0,Chasm City Alastair Reynolds science_fiction Description not available.
1178,Dracula,Bram Stoker,science_fiction,Description not available.,0.0,Dracula Bram Stoker science_fiction Description not available.
1179,The Picture of Dorian Gray,Oscar Wilde,science_fiction,Description not available.,0.0,The Picture of Dorian Gray Oscar Wilde science_fiction Description not available.
1180,Cibola burn,James S. A. Corey,science_fiction,Description not available.,0.0,Cibola burn James S. A. Corey science_fiction Description not available.
1181,Welcome to the Monkey House,Kurt Vonnegut,science_fiction,Description not available.,0.0,Welcome to the Monkey House Kurt Vonnegut science_fiction Description not available.
1182,World of Ptavvs,Larry Niven,science_fiction,Description not available.,0.0,World of Ptavvs Larry Niven science_fiction Description not available.
1183,Gathering Blue,Lois Lowry,science_fiction,Description not available.,0.0,Gathering Blue Lois Lowry science_fiction Description not available.
1184,Lord of Light,Roger Zelazny,science_fiction,Description not available.,0.0,Lord of Light Roger Zelazny science_fiction Description not available.
1185,Robot Dreams,Isaac Asimov,science_fiction,Description not available.,0.0,Robot Dreams Isaac Asimov science_fiction Description not available.
1186,Childhood’s End,Arthur C. Clarke,science_fiction,Description not available.,0.0,Childhood’s End Arthur C. Clarke science_fiction Description not available.
1187,The Ballad of Songbirds and Snakes,Suzanne Collins,science_fiction,Description not available.,0.0,The Ballad of Songbirds and Snakes Suzanne Collins science_fiction Description not available.
1188,Down and out in the Magic Kingdom,Cory Doctorow,science_fiction,Description not available.,0.0,Down and out in the Magic Kingdom Cory Doctorow science_fiction Description not available.
1189,The Handmaid's Tale,Margaret Atwood,science_fiction,Description not available.,0.0,The Handmaid's Tale Margaret Atwood science_fiction Description not available.
1190,The Rowan,Anne McCaffrey,science_fiction,Description not available.,0.0,The Rowan Anne McCaffrey science_fiction Description not available.
1191,Double Star,Robert A. Heinlein,science_fiction,Description not available.,0.0,Double Star Robert A. Heinlein science_fiction Description not available.
1192,Ignite Me,Tahereh Mafi,science_fiction,Description not available.,0.0,Ignite Me Tahereh Mafi science_fiction Description not available.
1193,Bumi Manusia,Pramoedya Ananta Toer,science_fiction,Description not available.,0.0,Bumi Manusia Pramoedya Ananta Toer science_fiction Description not available.
1194,Anthem,Ayn Rand,science_fiction,Description not available.,0.0,Anthem Ayn Rand science_fiction Description not available.
1195,To Sleep in a Sea of Stars,Christopher Paolini,science_fiction,Description not available.,0.0,To Sleep in a Sea of Stars Christopher Paolini science_fiction Description not available.
1196,The moon is a harsh mistress,Robert A. Heinlein,science_fiction,Description not available.,0.0,The moon is a harsh mistress Robert A. Heinlein science_fiction Description not available.
1197,Sixth Column,Robert A. Heinlein,science_fiction,Description not available.,0.0,Sixth Column Robert A. Heinlein science_fiction Description not available.
1198,The forge of God,Greg Bear,science_fiction,Description not available.,0.0,The forge of God Greg Bear science_fiction Description not available.
1199,3001,Arthur C. Clarke,science_fiction,Description not available.,0.0,3001 Arthur C. Clarke science_fiction Description not available.
1200,Idoru,William Gibson,science_fiction,Description not available.,0.0,Idoru William Gibson science_fiction Description not available.
1201,Assignment in Eternity,Robert A. Heinlein,science_fiction,Description not available.,0.0,Assignment in Eternity Robert A. Heinlein science_fiction Description not available.
1202,Harrow the Ninth,Tamsyn Muir,science_fiction,Description not available.,0.0,Harrow the Ninth Tamsyn Muir science_fiction Description not available.
1203,Footfall,Larry Niven,science_fiction,Description not available.,0.0,Footfall Larry Niven science_fiction Description not available.
1204,Little Fuzzy,H. Beam Piper,science_fiction,Description not available.,0.0,Little Fuzzy H. Beam Piper science_fiction Description not available.
1205,Out of the Silent Planet,C. S. Lewis,science_fiction,Description not available.,0.0,Out of the Silent Planet C. S. Lewis science_fiction Description not available.
1206,Earth abides,George Rippey Stewart,science_fiction,Description not available.,0.0,Earth abides George Rippey Stewart science_fiction Description not available.
1207,The human division,John Scalzi,science_fiction,Description not available.,0.0,The human division John Scalzi science_fiction Description not available.
1208,Parable of the Sower,Octavia E. Butler,science_fiction,Description not available.,0.0,Parable of the Sower Octavia E. Butler science_fiction Description not available.
1209,The Sparrow,Mary Doria Russell,science_fiction,Description not available.,0.0,The Sparrow Mary Doria Russell science_fiction Description not available.
1210,The Bicentennial Man and Other Stories [12 works],Isaac Asimov,science_fiction,Description not available.,0.0,The Bicentennial Man and Other Stories [12 works] Isaac Asimov science_fiction Description not available.
1211,Station Eleven,Emily St. John Mandel,science_fiction,Description not available.,0.0,Station Eleven Emily St. John Mandel science_fiction Description not available.
1212,Old Man’s War,John Scalzi,science_fiction,Description not available.,0.0,Old Man’s War John Scalzi science_fiction Description not available.
1213,Vingt mille lieues sous les mers,Jules Verne,science_fiction,Description not available.,0.0,Vingt mille lieues sous les mers Jules Verne science_fiction Description not available.
1214,Farnham's Freehold,Robert A. Heinlein,science_fiction,Description not available.,0.0,Farnham's Freehold Robert A. Heinlein science_fiction Description not available.
1215,The One (The Selection #3),Kiera Cass,science_fiction,Description not available.,0.0,The One (The Selection #3) Kiera Cass science_fiction Description not available.
1216,To your scattered bodies go,Philip José Farmer,science_fiction,Description not available.,0.0,To your scattered bodies go Philip José Farmer science_fiction Description not available.
1217,Ringworld,Larry Niven,science_fiction,Description not available.,0.0,Ringworld Larry Niven science_fiction Description not available.
1218,"Novels (Hitch Hiker's Guide to the Galaxy / Restaurant at the End of the Universe / Life, the Universe and Everything / So Long, and Thanks for All the Fish)",Douglas Adams,science_fiction,Description not available.,0.0,"Novels (Hitch Hiker's Guide to the Galaxy / Restaurant at the End of the Universe / Life, the Universe and Everything / So Long, and Thanks for All the Fish) Douglas Adams science_fiction Description not available."
1219,"Waldo and Magic, Inc",Robert A. Heinlein,science_fiction,Description not available.,0.0,"Waldo and Magic, Inc Robert A. Heinlein science_fiction Description not available."
1220,The integral trees,Larry Niven,science_fiction,Description not available.,0.0,The integral trees Larry Niven science_fiction Description not available.
1221,Klara and the Sun,Kazuo Ishiguro,science_fiction,Description not available.,0.0,Klara and the Sun Kazuo Ishiguro science_fiction Description not available.
1222,Do Androids Dream of Electric Sheep?,Philip K. Dick,science_fiction,Description not available.,0.0,Do Androids Dream of Electric Sheep? Philip K. Dick science_fiction Description not available.
1223,Nineteen Eighty-Four,George Orwell,science_fiction,Description not available.,0.0,Nineteen Eighty-Four George Orwell science_fiction Description not available.
1224,Stand on Zanzibar,John Brunner,science_fiction,Description not available.,0.0,Stand on Zanzibar John Brunner science_fiction Description not available.
1225,Mona Lisa Overdrive,William Gibson,science_fiction,Description not available.,0.0,Mona Lisa Overdrive William Gibson science_fiction Description not available.
1226,Oryx and Crake,Margaret Atwood,science_fiction,Description not available.,0.0,Oryx and Crake Margaret Atwood science_fiction Description not available.
1227,Three by Heinlein,Robert A. Heinlein,science_fiction,Description not available.,0.0,Three by Heinlein Robert A. Heinlein science_fiction Description not available.
1228,The Last Question,Isaac Asimov,science_fiction,Description not available.,0.0,The Last Question Isaac Asimov science_fiction Description not available.
1229,Authority,Jeff VanderMeer,science_fiction,Description not available.,0.0,Authority Jeff VanderMeer science_fiction Description not available.
1230,Unite Me,Tahereh Mafi,science_fiction,Description not available.,0.0,Unite Me Tahereh Mafi science_fiction Description not available.
1231,"Akira, Vol. 1",Katsuhiro Ōtomo,science_fiction,Description not available.,0.0,"Akira, Vol. 1 Katsuhiro Ōtomo science_fiction Description not available."
1232,The past through tomorrow,Robert A. Heinlein,science_fiction,Description not available.,0.0,The past through tomorrow Robert A. Heinlein science_fiction Description not available.
1233,Works (Buried Talents / Dance of the Dead / Dress of White Silk / From Shadowed Places / I Am Legend / Mad House / Person to Person / Prey / The Funeral / The Near Departed / Witch War),Richard Matheson,science_fiction,Description not available.,0.0,Works (Buried Talents / Dance of the Dead / Dress of White Silk / From Shadowed Places / I Am Legend / Mad House / Person to Person / Prey / The Funeral / The Near Departed / Witch War) Richard Matheson science_fiction Description not available.
1234,Метро 2033,Дмитрий Глуховский,science_fiction,Description not available.,0.0,Метро 2033 Дмитрий Глуховский science_fiction Description not available.
1235,The Midwich Cuckoos,John Wyndham,science_fiction,Description not available.,0.0,The Midwich Cuckoos John Wyndham science_fiction Description not available.
1236,Dragonsong,Anne McCaffrey,science_fiction,Description not available.,0.0,Dragonsong Anne McCaffrey science_fiction Description not available.
1237,Fantastic Voyage,Isaac Asimov,science_fiction,Description not available.,0.0,Fantastic Voyage Isaac Asimov science_fiction Description not available.
1238,Ender's Game,Orson Scott Card,science_fiction,Description not available.,0.0,Ender's Game Orson Scott Card science_fiction Description not available.
1239,Starman Jones,Robert A. Heinlein,science_fiction,Description not available.,0.0,Starman Jones Robert A. Heinlein science_fiction Description not available.
1240,Mostly Harmless,Douglas Adams,science_fiction,Description not available.,0.0,Mostly Harmless Douglas Adams science_fiction Description not available.
1241,Deception Point,Dan Brown,science_fiction,Description not available.,0.0,Deception Point Dan Brown science_fiction Description not available.
1242,Acceptance,Jeff VanderMeer,science_fiction,Description not available.,0.0,Acceptance Jeff VanderMeer science_fiction Description not available.
1243,A Discovery of Witches,Deborah Harkness,science_fiction,Description not available.,0.0,A Discovery of Witches Deborah Harkness science_fiction Description not available.
1244,Debt,David Graeber,history,Description not available.,0.0,Debt David Graeber history Description not available.
1245,The Story of Philosophy,Will Durant,history,Description not available.,0.0,The Story of Philosophy Will Durant history Description not available.
1246,A People's History of the United States,Howard Zinn,history,Description not available.,0.0,A People's History of the United States Howard Zinn history Description not available.
1247,Ringkasan sejarat filsafat,K. Bertens,history,Description not available.,0.0,Ringkasan sejarat filsafat K. Bertens history Description not available.
1248,The Rise and Fall of the Third Reich,William L. Shirer,history,Description not available.,0.0,The Rise and Fall of the Third Reich William L. Shirer history Description not available.
1249,The great conversation,Norman Melchert,history,Description not available.,0.0,The great conversation Norman Melchert history Description not available.
1250,Thirty years of the Soviet state,Unknown,history,Description not available.,0.0,Thirty years of the Soviet state Unknown history Description not available.
1251,Mga gunita ng himagsikan,Emilio Aguinaldo,history,Description not available.,0.0,Mga gunita ng himagsikan Emilio Aguinaldo history Description not available.
1252,The Art of War,孙武 (Sun Tzu),history,Description not available.,0.0,The Art of War 孙武 (Sun Tzu) history Description not available.
1253,Freedom at Midnight,Dominique Lapierre,history,Description not available.,0.0,Freedom at Midnight Dominique Lapierre history Description not available.
1254,Sapiens,Yuval Noah Harari,history,Description not available.,0.0,Sapiens Yuval Noah Harari history Description not available.
1255,Capitalist Realism,Mark Fisher,history,Description not available.,0.0,Capitalist Realism Mark Fisher history Description not available.
1256,The story of art,E. H. Gombrich,history,Description not available.,0.0,The story of art E. H. Gombrich history Description not available.
1257,The Age of Revolution,Eric Hobsbawm,history,Description not available.,0.0,The Age of Revolution Eric Hobsbawm history Description not available.
1258,A history of the modern world,R. R. Palmer,history,Description not available.,0.0,A history of the modern world R. R. Palmer history Description not available.
1259,21 Lessons for the 21st Century,Yuval Noah Harari,history,Description not available.,0.0,21 Lessons for the 21st Century Yuval Noah Harari history Description not available.
1260,Art,Frederick Hartt,history,Description not available.,0.0,Art Frederick Hartt history Description not available.
1261,Postwar,Tony Judt,history,Description not available.,0.0,Postwar Tony Judt history Description not available.
1262,The Unfinished Nation,Alan Brinkley,history,Description not available.,0.0,The Unfinished Nation Alan Brinkley history Description not available.
1263,The Lessons of History,Will Durant,history,Description not available.,0.0,The Lessons of History Will Durant history Description not available.
1264,The discovery of India,Jawaharlal Nehru,history,Description not available.,0.0,The discovery of India Jawaharlal Nehru history Description not available.
1265,Art history,Marilyn Stokstad,history,Description not available.,0.0,Art history Marilyn Stokstad history Description not available.
1266,Letters from a father to his daughter,Jawaharlal Nehru,history,Description not available.,0.0,Letters from a father to his daughter Jawaharlal Nehru history Description not available.
1267,The Enduring Vision,Paul S. Boyer,history,Description not available.,0.0,The Enduring Vision Paul S. Boyer history Description not available.
1268,History of art,H. W. Janson,history,Description not available.,0.0,History of art H. W. Janson history Description not available.
1269,The Dawn of Everything,David Graeber,history,Description not available.,0.0,The Dawn of Everything David Graeber history Description not available.
1270,An echo in the darkness,Francine Rivers,history,Description not available.,0.0,An echo in the darkness Francine Rivers history Description not available.
1271,A History of Western Philosophy,Bertrand Russell,history,Description not available.,0.0,A History of Western Philosophy Bertrand Russell history Description not available.
1272,Traditions & encounters,Jerry H. Bentley,history,Description not available.,0.0,Traditions & encounters Jerry H. Bentley history Description not available.
1273,A Room of One's Own,Virginia Woolf,history,Description not available.,0.0,A Room of One's Own Virginia Woolf history Description not available.
1274,ההיסטוריה של המחר,Yuval Noah Harari,history,Description not available.,0.0,ההיסטוריה של המחר Yuval Noah Harari history Description not available.
1275,Letters on demonology and witchcraft,Sir Walter Scott,history,Description not available.,0.0,Letters on demonology and witchcraft Sir Walter Scott history Description not available.
1276,La conquête du pain,Peter Kropotkin,history,Description not available.,0.0,La conquête du pain Peter Kropotkin history Description not available.
1277,"History of Egypt, Chaldea, Syria, Babylonia, And Assyria",Gaston Maspero,history,Description not available.,0.0,"History of Egypt, Chaldea, Syria, Babylonia, And Assyria Gaston Maspero history Description not available."
1278,The Silk Roads,Peter Frankopan,history,Description not available.,0.0,The Silk Roads Peter Frankopan history Description not available.
1279,Ioannis Zonarae Annales,"Zonaras, Joannes",history,Description not available.,0.0,"Ioannis Zonarae Annales Zonaras, Joannes history Description not available."
1280,Der Untergang des Abendlandes,Oswald Spengler,history,Description not available.,0.0,Der Untergang des Abendlandes Oswald Spengler history Description not available.
1281,The Mother Tongue,Bill Bryson,history,Description not available.,0.0,The Mother Tongue Bill Bryson history Description not available.
1282,Rizal without the overcoat,Ambeth R. Ocampo,history,Description not available.,0.0,Rizal without the overcoat Ambeth R. Ocampo history Description not available.
1283,History of Africa,Kevin Shillington,history,Description not available.,0.0,History of Africa Kevin Shillington history Description not available.
1284,History of the Filipino People,Teodoro A. Agoncillo,history,Description not available.,0.0,History of the Filipino People Teodoro A. Agoncillo history Description not available.
1285,The worldly philosophers,Robert L. Heilbroner,history,Description not available.,0.0,The worldly philosophers Robert L. Heilbroner history Description not available.
1286,SPQR,Mary Beard,history,Description not available.,0.0,SPQR Mary Beard history Description not available.
1287,Ἱστορίαι,Ἡρόδοτος,history,Description not available.,0.0,Ἱστορίαι Ἡρόδοτος history Description not available.
1288,A Walk in the Woods,Bill Bryson,history,Description not available.,0.0,A Walk in the Woods Bill Bryson history Description not available.
1289,The Emperor of All Maladies,Siddhartha Mukherjee,history,Description not available.,0.0,The Emperor of All Maladies Siddhartha Mukherjee history Description not available.
1290,A Distant Mirror,Barbara Tuchman,history,Description not available.,0.0,A Distant Mirror Barbara Tuchman history Description not available.
1291,Tragedy and hope,Carroll Quigley,history,Description not available.,0.0,Tragedy and hope Carroll Quigley history Description not available.
1292,The Eagle of the Ninth. 1400 Grundwörter.,Rosemary Sutcliff,history,Description not available.,0.0,The Eagle of the Ninth. 1400 Grundwörter. Rosemary Sutcliff history Description not available.
1293,Manifest der Kommunistischen Partei,Karl Marx,history,Description not available.,0.0,Manifest der Kommunistischen Partei Karl Marx history Description not available.
1294,Lies My Teacher Told Me,James W. Loewen,history,Description not available.,0.0,Lies My Teacher Told Me James W. Loewen history Description not available.
1295,The Palace of Illusions,Chitra Banerjee Divakaruni,history,Description not available.,0.0,The Palace of Illusions Chitra Banerjee Divakaruni history Description not available.
1296,Sleep walkers,Arthur Koestler,history,Description not available.,0.0,Sleep walkers Arthur Koestler history Description not available.
